StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q28_1,Q29_1,Q30_1,Q31_1,Q32_1,Q33_1,Q34
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you or have you ever studied computer science?,Do you or have you ever followed a course about neural networks?,Are you familiar with derivatives and the chain rule? - Completely Familiar (1) -- Unfamiliar  at all(5),What is an epoch in neural network training?,"What is the correct order of actions a neural network take within the first epoch of training? 
 1. Compute Loss
 2. Update parameters
 3. Calculate weighted inputs
 4. Forward propagation
 5. Backward propagation
 6. Initialize parameters",What is a loss function?,What does forward propagation in a neural network do?,"In neural network training, which of the following happens in the output layer during forward propagation?","What does ""merging the curve"" means in the output layer of the neural network during forward propagation process.","During training, a weight in a neural network is primarily used to...?",What does backward propagation in a neural network do?,How does a loss function affect the output result of the neural network?,The following graph plots the parameter value (x axis) VS. Sum of squared residuals (y axis) of parameter B5 in the neural network. Which points can possibly contain the optimal value of B5?,What is the primary role of a bias term in a neural network neuron?,Which of the following is true about bias values in neural networks?,What is an epoch in neural network training?,"What is the correct order of actions a neural network take within the first epoch of training? 
 1. Compute Loss
 2. Update parameters
 3. Calculate weighted inputs
 4. Forward propagation
 5. Backward propagation
 6. Initialize parameters",What is a loss function?,What does forward propagation in a neural network do?,"In neural network training, which of the following happens in the output layer during forward propagation?","What does ""merging the curve"" means in the output layer of the neural network during forward propagation process.","During training, a weight in a neural network is primarily used to...?",What does backward propagation in a neural network do?,How does a loss function affect the output result of the neural network?,The following graph plots the parameter value (x axis) VS. Sum of squared residuals (y axis) of parameter B5 in the neural network. Which points can possibly contain the optimal value of B5?,What is the primary role of a bias term in a neural network neuron?,Which of the following is true about bias values in neural networks?,I was able to concentrate fully during the activity. - Negative (1) -- Positive (5),I found the activity enjoyable. - Negative (1) -- Positive (5),I felt involved in the activity. - Negative (1) -- Positive (5),I felt like I learnt new details about neural network. - Negative (1) -- Positive (5),The activity made me more interested in learning about neural networks. - Negative (1) -- Positive (5),I could explain the concept of training a neural network to someone else. - Negative (1) -- Positive (5),Do you have any inputs on the activity?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9""}","{""ImportId"":""QID47""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID67""}","{""ImportId"":""QID70""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID66_TEXT""}"
2025/8/4 7:11,2025/8/4 7:56,IP Address,*******,100,2725,TRUE,2025/8/4 7:56,R_8LbYEG35fRXghjq,*******,*******,*******,*******,*******,*******,anonymous,EN,Yes,No,4,One parameter update step,6 4 3 1 5 2,A function measuring prediction error,Inputs are weighted and summed through the network,Inputs are weighted and summed through the network,Merging the input data into a compressed representation for dimensionality reduction.,Determine the influence strength of an input on the neuron's output,Computes how errors change with respect to weights and biases,It provides feedback on how far predictions are from actual targets,"2,3",To enable the activation function to shift left or right,Bias is learned during training like weights,One parameter update step,6 4 3 1 5 2,A function measuring prediction error,Inputs are weighted and summed through the network,Inputs are weighted and summed through the network,Merging the input data into a compressed representation for dimensionality reduction.,Determine the influence strength of an input on the neuron's output,Computes how errors change with respect to weights and biases,It provides feedback on how far predictions are from actual targets,3,To enable the activation function to shift left or right,Bias is learned during training like weights,3,3,3,3,3,3,闁哄牆顦遍崑锝夊疾閺囶亞绀塱nstruction闁告瑯鍨禍鎺楀即鐎涙顏搁柡鍛搭暒缁旀挳鎮欓惂鍝ョui闁汇劌瀚弻鐔奉嚕韫囨挸璁插ù鐘劜濞插潡鎳涢鍡楀Ё
2025/8/8 14:05,2025/8/8 14:35,IP Address,*******,100,1817,TRUE,2025/8/8 14:35,R_8kmIZssdTvIZ3YK,*******,*******,*******,*******,*******,*******,anonymous,EN,Yes,Yes,3,One parameter update step,6 4 3 1 5 2,A function measuring prediction error,Adds new data points to the dataset,Gradients are computed & propagated,Merging the input data into a compressed representation for dimensionality reduction.,Determine the influence strength of an input on the neuron's output,Computes how errors change with respect to weights and biases,It decides the structure of the neural network,3,To prevent overfitting by regularizing weights,Bias is learned during training like weights,One forward pass with one sample,6 4 3 1 5 2,A function measuring prediction error,Randomly updates weights,Weights and Bias gets updated and optimized,Combining the outputs of previous neurons to generate the result of the network.,Introduce non-linearity into the model,Computes how errors change with respect to weights and biases,It decides the structure of the neural network,4,To randomly drop neurons during training,Bias is a hyperparameter that must be set manually,3,4,4,2,2,2,
2025/8/9 13:28,2025/8/9 13:40,IP Address,*******,100,688,TRUE,2025/8/9 13:40,R_2LRMHjizn0V3B20,*******,*******,*******,*******,*******,*******,anonymous,EN,No,No,3,One forward pass with one sample,6 4 3 1 5 2,A layer type,Randomly updates weights,Inputs are weighted and summed through the network,Adjusting the activation function to align with the training labels.,Add a constant offset before activation,Computes how errors change with respect to weights and biases,It resets all weights to zero,"1,3",To multiply the input value before applying the activation,Bias is a hyperparameter that must be set manually,One forward pass with one sample,6 4 3 1 5 2,A function measuring prediction error,Inputs are weighted and summed through the network,Inputs are weighted and summed through the network,Combining the outputs of previous neurons to generate the result of the network.,Determine the influence strength of an input on the neuron's output,Computes how errors change with respect to weights and biases,It provides feedback on how far predictions are from actual targets,"2,3",To enable the activation function to shift left or right,Bias is learned during training like weights,4,3,4,4,3,3,"The controls are kinda confusing, and the VR hand tracking is not very accurate."
2025/8/11 7:58,2025/8/11 8:17,IP Address,*******,100,1113,TRUE,2025/8/11 8:17,R_8YCVt7kqV5DQTmo,*******,*******,*******,*******,*******,*******,anonymous,EN,No,No,4,One parameter update step,6 3 4 1 2 5,A parameter in the network,Randomly updates weights,The optimizer adjusts parameters,,Shift the activation threshold,Randomly updates weights,It visualizes the accuracy of predictions,"3,4",To multiply the input value before applying the activation,Bias is a hyperparameter that must be set manually,One entire pass over all training samples,6 4 3 1 5 2,A function measuring prediction error,Inputs are weighted and summed through the network,Weights and Bias gets updated and optimized,Adjusting the activation function to align with the training labels.,Determine the influence strength of an input on the neuron's output,Randomly updates weights,It provides feedback on how far predictions are from actual targets,2,To enable the activation function to shift left or right,Bias is learned during training like weights,4,3,3,4,3,3,I think the game needs a bit more polish on explaining the terminologies to ppl that are not familiar with neural network.
2025/8/4 7:07,2025/8/13 9:34,IP Address,*******,100,786413,TRUE,2025/8/13 9:34,R_2QryW4teaASA5Kp,*******,*******,*******,*******,*******,*******,anonymous,EN,Yes,No,4,One parameter update step,6 4 3 1 5 2,A parameter in the network,Computes how errors change with respect to weights and biases,Weights and Bias gets updated and optimized,Adjusting the activation function to align with the training labels.,Add a constant offset before activation,Computes how errors change with respect to weights and biases,It resets all weights to zero,2,To enable the activation function to shift left or right,Bias is a hyperparameter that must be set manually,One entire pass over all training samples,6 4 3 1 5 2,A parameter in the network,Inputs are weighted and summed through the network,Inputs are weighted and summed through the network,Merging the input data into a compressed representation for dimensionality reduction.,Determine the influence strength of an input on the neuron's output,Adds new data points to the dataset,It provides feedback on how far predictions are from actual targets,3,To enable the activation function to shift left or right,Bias is learned during training like weights,4,3,4,4,3,3,
2025/8/14 8:27,2025/8/14 8:38,IP Address,*******,100,631,TRUE,2025/8/14 8:38,R_8azAkxMwUqJF9s8,*******,*******,*******,*******,*******,*******,anonymous,EN,Yes,No,2,One parameter update step,6 4 3 1 5 2,A function measuring prediction error,Adds new data points to the dataset,Inputs are weighted and summed through the network,Plotting the training loss curve over multiple epochs.,Introduce non-linearity into the model,Computes how errors change with respect to weights and biases,It visualizes the accuracy of predictions,3,To multiply the input value before applying the activation,Bias is learned during training like weights,One parameter update step,6 4 3 1 5 2,A function measuring prediction error,Inputs are weighted and summed through the network,Inputs are weighted and summed through the network,Combining the outputs of previous neurons to generate the result of the network.,Determine the influence strength of an input on the neuron's output,Computes how errors change with respect to weights and biases,It provides feedback on how far predictions are from actual targets,"2,3",To prevent overfitting by regularizing weights,Bias is learned during training like weights,4,3,3,3,2,2,The instruction is confusing. Some components are not relavent or the connection is not clear to me.
2025/8/14 11:21,2025/8/14 11:47,IP Address,*******,100,1551,TRUE,2025/8/14 11:47,R_8OTAgCsoJRJwk6g,*******,*******,*******,*******,*******,*******,anonymous,EN,Yes,Yes,2,One batch,6 4 3 1 5 2,A function measuring prediction error,Randomly updates weights,Inputs are weighted and summed through the network,Plotting the training loss curve over multiple epochs.,Determine the influence strength of an input on the neuron's output,Computes how errors change with respect to weights and biases,It provides feedback on how far predictions are from actual targets,"2,3",To enable the activation function to shift left or right,Bias is learned during training like weights,One entire pass over all training samples,6 4 3 1 5 2,A function measuring prediction error,Computes how errors change with respect to weights and biases,,Merging the input data into a compressed representation for dimensionality reduction.,Determine the influence strength of an input on the neuron's output,Computes how errors change with respect to weights and biases,It provides feedback on how far predictions are from actual targets,"2,3",To enable the activation function to shift left or right,Bias is learned during training like weights,4,2,4,2,3,4,"The graphs in the game should have labels and axis attached. The control where u shoot the ball is buggy, and cause the game to behave weird"
2025/8/26 5:30,2025/8/26 6:10,IP Address,*******,100,2374,TRUE,2025/8/26 6:10,R_87HXkqe2Ol3gtrp,*******,*******,*******,*******,*******,*******,anonymous,EN,Yes,No,2,One forward pass with one sample,4 6 3 5 1 2,An activation mechanism,Inputs are weighted and summed through the network,Weights and Bias gets updated and optimized,Merging the input data into a compressed representation for dimensionality reduction.,Introduce non-linearity into the model,Randomly updates weights,It decides the structure of the neural network,4,To enable the activation function to shift left or right,Bias is a hyperparameter that must be set manually,One entire pass over all training samples,6 4 3 1 5 2,A function measuring prediction error,Computes how errors change with respect to weights and biases,Inputs are weighted and summed through the network,Combining the outputs of previous neurons to generate the result of the network.,Determine the influence strength of an input on the neuron's output,Computes how errors change with respect to weights and biases,It provides feedback on how far predictions are from actual targets,"2,3",To enable the activation function to shift left or right,Bias is learned during training like weights,3,4,3,4,2,2,
